sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
Pb_0197,133995,1299912,9.701,12.25,Pb,SFA-15,6960816
Pb_0198,123563,1644144,13.306,15.969,Pb,SFA-15,8897003
Pb_0201,123470,1670373,13.529,16.921,Pb,SFA-15,8387508
Pb_0202,116285,1163949,10.009,11.787,Pb,SFA-15,5721294
Pb_0203,135151,2575987,19.06,26.152,Pb,SFA-15,13380125
Pb_0206,128799,2468132,19.163,24.652,Pb,SFA-15,12728280
Pb_0207,116782,2260358,19.355,24.244,Pb,SFA-15,11227271
Pb_0209,127882,2598707,20.321,26.873,Pb,SFA-15,13996866
Pb_0210,131066,2564641,19.568,23.953,Pb,SFA-15,13410430
Pb_0211,116145,919235,7.915,9.248,Pb,SFA-15,4841187
Pb_0212,145222,2778589,19.133,25.271,Pb,SFA-15,14145800
Pb_0213,124173,1317398,10.609,12.798,Pb,SFA-15,6962755
Pb_0215,135270,1403794,10.378,13.055,Pb,SFA-15,7150971
Pb_0216,134949,2418288,17.92,22.358,Pb,SFA-15,12859113
Pb_0220,127821,2220318,17.371,21.167,Pb,SFA-15,11827620
Pb_0221,137207,1658773,12.09,15.207,Pb,SFA-15,8761539
Pb_0226,132673,1760411,13.269,16.526,Pb,SFA-15,8844311
Pb_0227,135133,1972846,14.599,18.357,Pb,SFA-15,10456326
Pb_0232,126474,1457583,11.525,14.056,Pb,SFA-15,7816801
Pb_0233,130954,1338393,10.22,12.583,Pb,SFA-15,7025565
Pb_0234,125084,1086375,8.685,10.62,Pb,SFA-15,5405397
Pb_0235,122174,1963825,16.074,19.323,Pb,SFA-15,9999147
Pb_0236,124396,1046070,8.409,10.159,Pb,SFA-15,5423385
Pb_0237,119900,866489,7.227,8.578,Pb,SFA-15,4812630
Pb_0238,119756,1078922,9.009,10.638,Pb,SFA-15,5707343
Pb_0239,120368,960488,7.98,9.423,Pb,SFA-15,5175670
Pb_0240,96549,1360227,14.088,16.984,Pb,SFA-15,7080421
Pb_0244,126371,1352893,10.706,13.186,Pb,SFA-15,7273986
Pb_0245,125392,3803433,30.332,39.028,Pb,SFA-15,18833490
Pb_0246,112356,853343,7.595,8.761,Pb,SFA-15,4507740
Pb_0247,121896,1127609,9.251,11.052,Pb,SFA-15,6241331
Pb_0248,138475,2053319,14.828,19.093,Pb,SFA-15,10634571
Pb_0249,117655,827003,7.029,8.254,Pb,SFA-15,4552013
Pb_0251,131672,1611784,12.241,15.279,Pb,SFA-15,8415750
Pb_0253,124215,1314587,10.583,12.79,Pb,SFA-15,7074914
Pb_0257,108449,838603,7.733,8.842,Pb,SFA-13,4543454
Pb_0259,137104,1831027,13.355,16.726,Pb,SFA-13,9617657
Pb_0260,129915,1850251,14.242,17.409,Pb,SFA-13,9737888
Pb_0266,107423,895050,8.332,9.745,Pb,SFA-13,4673579
Pb_0267,120166,1197633,9.966,11.82,Pb,SFA-13,6794200
Pb_0269,109769,734519,6.691,7.791,Pb,SFA-13,3825425
Pb_0270,136422,2117237,15.52,19.593,Pb,SFA-13,11312129
Pb_0271,112321,801044,7.132,8.242,Pb,SFA-13,4153304
Pb_0274,132347,2008962,15.18,18.999,Pb,SFA-13,10457078
Pb_0276,126115,1208642,9.584,11.837,Pb,SFA-13,6414139
Pb_0277,123069,1184689,9.626,11.566,Pb,SFA-13,6337919
Pb_0279,112232,778487,6.936,8.057,Pb,SFA-13,4322526
Pb_0281,107662,726815,6.751,7.856,Pb,SFA-13,3670453
Pb_0282,116472,874380,7.507,8.78,Pb,SFA-13,4675955
Pb_0283,128009,1824031,14.249,17.259,Pb,SFA-13,10117291
Pb_0285,125482,1474116,11.748,14.299,Pb,SFA-13,8079991
Pb_0287,121512,1231840,10.138,12.044,Pb,SFA-13,6404311
Pb_0288,108868,857810,7.879,8.99,Pb,SFA-13,4458781
Pb_0289,121106,1117726,9.229,11.016,Pb,SFA-13,5940800
Pb_0290,132980,1739379,13.08,16.103,Pb,SFA-13,9180197
Pb_0291,120425,2566152,21.309,26.639,Pb,SFA-13,12831733
Pb_0292,123438,1104348,8.947,10.755,Pb,SFA-13,5765427
Pb_0295,116134,1018279,8.768,10.302,Pb,SFA-13,5416001
Pb_0296,125122,1160987,9.279,11.162,Pb,SFA-13,5995142
Pb_0297,126430,2001557,15.831,19.057,Pb,SFA-13,10470535
Pb_0298,126790,1626381,12.827,15.455,Pb,SFA-13,8653547
Pb_0299,135487,2575658,19.01,23.851,Pb,SFA-13,13685890
Pb_0300,142519,2702246,18.961,24.23,Pb,SFA-13,14387711
Pb_0302,146529,3618123,24.692,32.27,Pb,SFA-13,19541832
Pb_0303,132858,2235461,16.826,20.766,Pb,SFA-13,11800601
Pb_0306,137028,1692425,12.351,15.493,Pb,SFA-13,8706902
Pb_0307,134486,1565868,11.643,14.498,Pb,SFA-13,8046161
Pb_0308,143851,2292006,15.933,20.667,Pb,SFA-13,12187947
Pb_0309,127661,1113861,8.725,10.64,Pb,SFA-13,6012857
Pb_0310,116072,920816,7.933,9.357,Pb,SFA-13,5037934
Pb_0311,132701,1403406,10.576,13.304,Pb,SFA-13,7454755
Pb_0312,153308,2300817,15.008,20.307,Pb,SFA-13,11647484
Pb_0313,136249,1819449,13.354,17.001,Pb,SFA-13,9578613
Pb_0314,135244,1288296,9.526,12.102,Pb,SFA-13,6761025
Pb_0315,124021,3537966,28.527,35.854,Pb,SFA-13,17337537
Pb_0316,130489,2389464,18.312,22.431,Pb,SFA-13,12385614
Pb_0317,156521,2174956,13.896,19.052,Pb,SFA-13,10936420
Pb_0318,124701,1442364,11.567,13.995,Pb,SFA-13,7519106
Pb_0319,135237,1866494,13.802,17.14,Pb,SFA-13,10089687
Pb_0320,125981,1215549,9.649,11.778,Pb,SFA-13,6364758
Pb_0321,127651,1178653,9.233,11.148,Pb,SFA-13,6172366
Pb_0322,120885,1079004,8.926,10.717,Pb,SFA-13,5747789
Pb_0323,120893,1459956,12.076,14.795,Pb,SFA-13,7275692
Pb_0324,143264,2834300,19.784,25.806,Pb,SFA-13,15086517
Pb_0325,105817,945026,8.931,10.774,Pb,SFA-13,5193666
Pb_0326,131153,1607350,12.256,14.976,Pb,SFA-13,8420909
Pb_0327,119729,1011202,8.446,9.927,Pb,SFA-13,5200474
Pb_0328,127735,1558476,12.201,14.875,Pb,SFA-13,8157840
Pb_0329,121884,1553498,12.746,15.8,Pb,SFA-13,7745093
Pb_0330,137943,2016185,14.616,18.407,Pb,SFA-13,10811197
Pb_0331,113983,868543,7.62,8.991,Pb,SFA-13,4575491
Pb_0332,125267,1485769,11.861,14.409,Pb,SFA-13,7791021
Pb_0354,122694,1085170,8.845,10.652,Pb,SFA-14,6022488
Pb_0356,139527,1430120,10.25,13.04,Pb,SFA-14,7486106
Pb_0357,134553,3001490,22.307,28.079,Pb,SFA-14,15866406
Pb_0358,140453,1568595,11.168,14.461,Pb,SFA-14,8018349
Pb_0359,109120,716685,6.568,7.56,Pb,SFA-14,3998064
Pb_0360,147968,3616413,24.441,35.28,Pb,SFA-14,18833935
Pb_0361,136418,2307227,16.913,21.122,Pb,SFA-14,13156439
Pb_0363,116042,1349274,11.627,13.665,Pb,SFA-14,7197119
Pb_0365,120594,2031721,16.848,20.201,Pb,SFA-14,10485623
