sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
Pb_1223,177866,4898439,27.54,41.565,Pb,SFA-8,26004028
Pb_1224,138298,2197896,15.892,20.499,Pb,SFA-8,12442369
Pb_1225,122544,1499984,12.24,15.075,Pb,SFA-8,7564347
Pb_1226,123948,1216523,9.815,11.933,Pb,SFA-8,6654599
Pb_1227,152120,2555992,16.802,25.308,Pb,SFA-8,14861976
Pb_1228,141971,2264509,15.951,20.901,Pb,SFA-8,11883121
Pb_1229,109908,942600,8.576,10.397,Pb,SFA-8,4615606
Pb_1230,142712,2720279,19.061,27.279,Pb,SFA-8,15433328
Pb_1230_replica,107711,693282,6.437,7.548,Pb,SFA-8,3985774
Pb_1231,97882,558288,5.704,6.588,Pb,SFA-8,3069023
Pb_1232,112471,695500,6.184,7.334,Pb,SFA-8,3729764
Pb_1233,128918,1224968,9.502,11.731,Pb,SFA-8,6584369
Pb_1234,121900,857863,7.037,8.548,Pb,SFA-8,4810605
Pb_1234_replica,119468,1009539,8.45,10.135,Pb,SFA-8,6056244
Pb_1235,147304,2620571,17.79,26.548,Pb,SFA-8,14458098
Pb_1236,124736,825039,6.614,8.151,Pb,SFA-8,4411715
Pb_1237,126637,906456,7.158,8.773,Pb,SFA-8,5019623
Pb_1238,104944,509408,4.854,5.642,Pb,SFA-8,2930793
Pb_1239,148012,1811572,12.239,16.239,Pb,SFA-8,9409754
Pb_1240,133071,1351097,10.153,12.724,Pb,SFA-8,7327514
Pb_1241,126461,891539,7.05,8.891,Pb,SFA-8,4702771
Pb_1242,133351,1048708,7.864,10.075,Pb,SFA-8,5636353
Pb_1243,142381,1726008,12.122,15.732,Pb,SFA-8,9612959
Pb_1244,140925,990122,7.026,9.44,Pb,SFA-8,5236071
Pb_1245,129736,1228430,9.469,12.033,Pb,SFA-8,6958685
Pb_1246,130660,1078488,8.254,10.663,Pb,SFA-8,5651175
Pb_1247,118269,693412,5.863,7.164,Pb,SFA-8,3999288
Pb_1248,129671,993678,7.663,9.587,Pb,SFA-8,5514861
Pb_1249,143873,1155841,8.034,10.745,Pb,SFA-8,6408240
Pb_1251,117147,758716,6.477,8.027,Pb,SFA-9,4045858
Pb_1252,142985,1432239,10.017,13.03,Pb,SFA-9,7817433
Pb_1253,137116,1245818,9.086,11.706,Pb,SFA-9,6765369
Pb_1254,126834,845410,6.665,8.363,Pb,SFA-9,4674444
Pb_1255,115793,1158525,10.005,12.446,Pb,SFA-9,6048180
Pb_1256,151863,1276218,8.404,11.529,Pb,SFA-9,7475918
Pb_1257,79021,357472,4.524,5.043,Pb,SFA-9,1980143
Pb_1258,128552,1139949,8.868,11.04,Pb,SFA-9,6257470
Pb_1259,130767,908211,6.945,8.761,Pb,SFA-9,5322179
Pb_1260,117825,1241643,10.538,13.201,Pb,SFA-9,6407335
Pb_1261,154621,2361693,15.274,21.205,Pb,SFA-9,12713946
Pb_1262,125962,1003138,7.964,9.842,Pb,SFA-9,5537947
Pb_1263,131579,1310593,9.961,12.314,Pb,SFA-9,7026907
Pb_1264,99605,488332,4.903,5.608,Pb,SFA-9,2697297
Pb_1265,137037,1338783,9.77,12.861,Pb,SFA-9,7378154
Pb_1266,138495,1504801,10.865,13.944,Pb,SFA-9,8109259
Pb_1267,114609,567751,4.954,5.962,Pb,SFA-9,3298620
Pb_1268,114254,954256,8.352,9.926,Pb,SFA-9,5527213
Pb_1269,145656,1884932,12.941,17.106,Pb,SFA-9,10214872
Pb_1270,133644,1432759,10.721,13.384,Pb,SFA-9,7631237
Pb_1272,124121,995455,8.02,9.791,Pb,SFA-9,5530460
Pb_1273,114858,1013619,8.825,10.536,Pb,SFA-9,5333664
Pb_1274,120589,1188394,9.855,12.131,Pb,SFA-9,6392060
Pb_1275,107501,600248,5.584,6.543,Pb,SFA-9,3464842
Pb_1276,66306,208696,3.147,3.454,Pb,SFA-9,1201490
Pb_1277,135929,1380403,10.155,12.874,Pb,SFA-9,7718699
Pb_1278,137940,2446119,17.733,22.644,Pb,SFA-9,12917385
Pb_1279,117369,628759,5.357,6.466,Pb,SFA-9,3708262
Pb_1280,131110,1080019,8.238,10.359,Pb,SFA-9,5767784
Pb_1281,129301,1292052,9.993,12.533,Pb,SFA-9,6987707
Pb_1282,121687,892142,7.331,9.049,Pb,SFA-9,4944265
Pb_1283,140848,1691693,12.011,15.279,Pb,WAZ,8691509
Pb_1284,140677,2031714,14.442,18.677,Pb,WAZ,10513247
Pb_1286,136589,1577334,11.548,14.734,Pb,SFA-4,7941266
Pb_1288,146703,2676781,18.246,24.089,Pb,SFA-4,14090985
Pb_1289,106547,794465,7.456,8.584,Pb,SFA-4,4111787
Pb_1290,134923,1463928,10.85,13.705,Pb,SFA-4,7579668
Pb_1291,99418,777249,7.818,8.9,Pb,SFA-4,3915863
Pb_1292,119968,2032936,16.946,21.14,Pb,SFA-4,10277248
Pb_1292_replica,135087,1526099,11.297,14.201,Pb,SFA-4,7696511
Pb_1293,120809,1030210,8.528,10.217,Pb,SFA-4,5239365
Pb_1294,142424,2031371,14.263,18.313,Pb,SFA-4,10598024
Pb_1295,98097,693537,7.07,8.002,Pb,SFA-4,3798237
Pb_1296,128159,1560288,12.175,15.259,Pb,SFA-4,7930232
Pb_1298,77486,343838,4.437,4.883,Pb,SFA-4,1649493
Pb_1299,147734,1719394,11.638,15.232,Pb,SFA-4,9074903
Pb_1300,139761,1505342,10.771,13.833,Pb,SFA-4,7756194
Pb_1302,151875,2817939,18.554,24.766,Pb,SFA-4,14259779
Pb_1303,115511,872354,7.552,8.861,Pb,SFA-4,4483290
Pb_1304,110720,781934,7.062,8.172,Pb,SFA-4,4036073
Pb_1306,124726,2420934,19.41,25.283,Pb,SFA-4,12770209
Pb_1307,121066,1118493,9.239,10.998,Pb,SFA-4,5610394
Pb_1312,112619,609385,5.411,6.352,Pb,SFA-4,3259473
Pb_1320,137917,1642798,11.911,15.207,Pb,SFA-4,8411243
Pb_1321,131208,1611474,12.282,15.111,Pb,SFA-4,8274666
Pb_1322,121771,1991319,16.353,20.337,Pb,SFA-4,9874620
Pb_1323,98831,769269,7.784,8.871,Pb,SFA-4,3740240
Pb_1324,132076,1065866,8.07,9.979,Pb,SFA-4,5607957
Pb_1325,139074,1593159,11.455,14.706,Pb,SFA-4,8414988
Pb_1326,145307,3412942,23.488,30.641,Pb,SFA-4,16734653
Pb_1327,70168,360900,5.143,5.788,Pb,SFA-4,1828926
Pb_1328,151574,2351233,15.512,20.542,Pb,SFA-4,12505490
Pb_1329,121427,1531293,12.611,15.098,Pb,SFA-4,8268542
Pb_1330,138907,2358385,16.978,21.724,Pb,SFA-4,12383382
Pb_1331,132723,1711539,12.896,15.893,Pb,SFA-4,9003323
Pb_1332,107958,729285,6.755,7.804,Pb,SFA-4,4187405
Pb_1333,131481,3084366,23.459,31.392,Pb,SFA-4,16698143
Pb_1334,121154,1326238,10.947,13.407,Pb,SFA-4,6549019
Pb_1335,107570,1604212,14.913,18.085,Pb,SFA-4,7613865
Pb_1336,135731,1504547,11.085,14.083,Pb,SFA-4,7931498
Pb_1337,130517,1340180,10.268,12.669,Pb,SFA-4,7195142
Pb_1338,123344,1276650,10.35,12.52,Pb,SFA-4,6961672
Pb_1341,72604,337045,4.642,5.081,Pb,SFA-4,1869233
Pb_1342,136196,2018239,14.819,18.791,Pb,SFA-4,10857646
Pb_1345,126741,1703061,13.437,16.438,Pb,SFA-4,9235402
Pb_1347,104665,686306,6.557,7.812,Pb,SFA-4,3653532
Pb_1348,134269,1593661,11.869,14.888,Pb,SFA-4,8114250
Pb_1349,113562,1290533,11.364,14.043,Pb,SFA-4,7099318
Pb_1351,123162,1760828,14.297,18.506,Pb,SFA-4,9856527
Pb_1351_replica,117897,1010789,8.573,10.246,Pb,SFA-4,5606689
Pb_1352,125474,1287903,10.264,12.344,Pb,SFA-4,6899629
Pb_1353,134411,1521160,11.317,14.175,Pb,SFA-4,7849630
Pb_1354,127967,3158720,24.684,32.03,Pb,SFA-4,15495483
Pb_1355,87384,914940,10.47,12.901,Pb,SFA-4,4665949
Pb_1356,147679,4162519,28.186,37.25,Pb,WAZ,20548625
Pb_1357,127595,1208167,9.469,11.485,Pb,WAZ,6722027
Pb_1358,108093,1049021,9.705,11.373,Pb,WAZ,5124310
Pb_1359,79924,331880,4.152,4.691,Pb,WAZ,1766356
Pb_1360,88199,339003,3.844,4.282,Pb,WAZ,2011984
Pb_1361,117876,860460,7.3,8.595,Pb,WAZ,4553413
Pb_1362,138495,2146517,15.499,19.576,Pb,WAZ,11465822
Pb_1363,107805,627689,5.822,6.69,Pb,WAZ,3382848
Pb_1364,135609,1682678,12.408,15.699,Pb,WAZ,8996994
Pb_1365,137219,3201972,23.335,32.243,Pb,WAZ,17698125
Pb_1366,108141,670614,6.201,7.18,Pb,WAZ,3763343
Pb_1367,119874,1155797,9.642,11.71,Pb,WAZ,5731925
Pb_1368,128754,1452415,11.281,13.885,Pb,WAZ,7847395
Pb_1369,106479,639137,6.002,6.898,Pb,WAZ,3336166
Pb_1370,71655,353195,4.929,5.398,Pb,WAZ,1859202
Pb_1372,139485,2198168,15.759,20.323,Pb,WAZ,11606011
Pb_1373,136332,2250292,16.506,20.807,Pb,WAZ,12577852
Pb_1374,113976,783584,6.875,8.064,Pb,WAZ,4384707
Pb_1375,125459,1267738,10.105,12.408,Pb,WAZ,6941359
Pb_1376,136985,1427396,10.42,13.082,Pb,WAZ,7669473
Pb_1377,127003,1481081,11.662,14.235,Pb,WAZ,7687177
Pb_1378,126280,1410906,11.173,13.589,Pb,WAZ,7427819
Pb_1379,91940,375014,4.079,4.56,Pb,WAZ,2024446
Pb_1381,111665,995558,8.916,10.391,Pb,WAZ,5550667
Pb_1382,153998,2309698,14.998,20.245,Pb,WAZ,11928334
Pb_1383,115919,972033,8.385,9.888,Pb,WAZ,5394315
Pb_1384,133756,2702928,20.208,24.969,Pb,WAZ,14085197
Pb_1385,66853,223387,3.341,3.622,Pb,WAZ,1187106
Pb_1385_replica,133106,1137838,8.548,10.671,Pb,WAZ,5974744
Pb_1386,120970,947423,7.832,9.25,Pb,WAZ,5088609
Pb_1387,134332,1961598,14.603,18.712,Pb,WAZ,9444953
Pb_1388,99059,609370,6.152,7.024,Pb,WAZ,3348050
Pb_1389,109150,1232985,11.296,13.216,Pb,WAZ,6006209
Pb_1390,118474,1789952,15.108,18.629,Pb,WAZ,8953733
Pb_1391,93090,368743,3.961,4.459,Pb,SFA-16,2059804
Pb_1392,123948,996675,8.041,9.83,Pb,SFA-16,5233124
Pb_1393,147593,3223901,21.843,28.653,Pb,SFA-16,16742333
Pb_1393_replica,134027,1855514,13.844,17.278,Pb,SFA-16,9742292
Pb_1394,127715,1443479,11.302,13.986,Pb,SFA-16,7780210
Pb_1395,123854,922769,7.45,9.114,Pb,SFA-16,5014710
Pb_1396,116070,933987,8.047,9.671,Pb,SFA-16,5046494
Pb_1397,95063,466487,4.907,5.611,Pb,SFA-16,2354474
Pb_1398,87594,316012,3.608,4.174,Pb,SFA-16,1765888
Pb_1399,137715,1602503,11.636,15.137,Pb,SFA-16,8667297
Pb_1400,123629,1195883,9.673,11.746,Pb,SFA-16,6412895
Pb_1401,121583,1069854,8.799,10.631,Pb,SFA-16,6362279
Pb_1402,131553,1529398,11.626,14.728,Pb,SFA-16,8411005
Pb_1402_replica,128063,974858,7.612,9.343,Pb,SFA-16,5503118
Pb_1403,44709,112016,2.505,2.671,Pb,SFA-16,603113
Pb_1404,101929,489650,4.804,5.573,Pb,SFA-16,2655358
Pb_1405,90153,452711,5.022,5.702,Pb,SFA-16,2729008
Pb_1406,114185,722046,6.323,7.473,Pb,SFA-16,3865650
Pb_1407,58113,153676,2.644,2.826,Pb,EAZ,841530
Pb_1408,127567,1124492,8.815,10.876,Pb,EAZ,6334289
Pb_1409,100994,692829,6.86,7.998,Pb,EAZ,3429739
Pb_1410,126995,1423533,11.209,13.825,Pb,EAZ,7937350
Pb_1410_replica,125284,1078741,8.61,10.387,Pb,EAZ,6008082
Pb_1411,107770,1092160,10.134,12.008,Pb,EAZ,5801564
Pb_1411_replica,129628,1266117,9.767,12.015,Pb,EAZ,6675702
Pb_1412,114279,1378863,12.066,14.445,Pb,EAZ,6851033
Pb_1413,123330,1091446,8.85,10.745,Pb,EAZ,6112781
Pb_1414,127799,1516174,11.864,14.503,Pb,EAZ,7863143
Pb_1415,66623,267487,4.015,4.405,Pb,EAZ,1419549
Pb_1416,93269,568715,6.098,6.878,Pb,EAZ,3240698
Pb_1417,120369,1526194,12.679,15.415,Pb,EAZ,8076501
Pb_1418,107904,807096,7.48,8.789,Pb,EAZ,4218556
Pb_1419,137753,1563648,11.351,14.526,Pb,EAZ,8634149
Pb_1420,128525,1321851,10.285,12.501,Pb,EAZ,7020657
Pb_1421,116957,980145,8.38,9.943,Pb,EAZ,5718032
Pb_1422,114506,1616484,14.117,17.642,Pb,EAZ,8842974
Pb_1423,134294,1585189,11.804,14.56,Pb,EAZ,8534593
Pb_1424,123333,1811151,14.685,19.065,Pb,EAZ,10298684
Pb_1425,121652,1722998,14.163,17.506,Pb,EAZ,8805545
Pb_1425_replica,116868,966509,8.27,9.756,Pb,EAZ,5232148
Pb_1426,119862,1140047,9.511,11.386,Pb,EAZ,6722772
Pb_1427,83225,288388,3.465,3.85,Pb,EAZ,1728815
Pb_1437,116659,1682010,14.418,18.121,Pb,SFA-0,9531603
Pb_1442,77518,325443,4.198,4.69,Pb,EAZ,1997163
Pb_1443,133179,1527888,11.472,14.205,Pb,EAZ,8035081
Pb_1444,122252,1689994,13.824,17.289,Pb,EAZ,8408853
Pb_1445,128412,1937813,15.091,18.529,Pb,EAZ,9832647
Pb_1446,124663,1298664,10.417,12.64,Pb,EAZ,7112239
Pb_1447,120376,851907,7.077,8.461,Pb,EAZ,4591945
Pb_1448,146867,2184033,14.871,19.586,Pb,EAZ,11216234
Pb_1449,129670,1289832,9.947,12.122,Pb,EAZ,7142995
Pb_1450,118158,909430,7.697,9.105,Pb,EAZ,5182156
Pb_1451,122402,2055031,16.789,21.022,Pb,EAZ,10909446
Pb_1452,97269,702177,7.219,8.23,Pb,EAZ,3431651
Pb_1453,120115,1838900,15.309,18.727,Pb,EAZ,8900170
Pb_1454,126702,1063339,8.392,10.12,Pb,EAZ,5680758
Pb_1455,136289,1586530,11.641,14.58,Pb,EAZ,8652274
Pb_1456,127215,1326878,10.43,12.655,Pb,EAZ,6986934
Pb_1457,106422,618366,5.811,6.686,Pb,EAZ,3380227
Pb_1458,99448,504259,5.071,5.773,Pb,EAZ,2756795
Pb_1459,128827,999565,7.759,9.776,Pb,EAZ,5266351
Pb_1460,135449,2730049,20.156,25.598,Pb,EAZ,14404161
Pb_1461,103439,779091,7.532,8.719,Pb,EAZ,3901132
Pb_1462,128338,1834921,14.298,17.53,Pb,EAZ,9887088
Pb_1463,139197,2243630,16.118,20.879,Pb,EAZ,11957081
Pb_1464,132621,1527021,11.514,14.273,Pb,EAZ,8338126
Pb_1465,119418,1533953,12.845,15.595,Pb,EAZ,7402515
Pb_1466,128959,1205193,9.346,11.33,Pb,EAZ,6813326
Pb_1467,108484,1151695,10.616,12.769,Pb,EAZ,6027509
Pb_1468,108013,934094,8.648,9.918,Pb,EAZ,4955364
Pb_1469,103955,588233,5.659,6.641,Pb,EAZ,2990082
Pb_1470,114001,1025086,8.992,10.717,Pb,EAZ,5352215
Pb_1470_replica,130507,1606747,12.312,15.071,Pb,EAZ,8522432
Pb_1471,54695,147065,2.689,2.916,Pb,EAZ,937936
Pb_1472,126312,1279620,10.131,12.29,Pb,EAZ,6747229
Pb_1473,112282,1221231,10.876,13.137,Pb,EAZ,6211687
Pb_1474,127020,1097592,8.641,10.456,Pb,EAZ,5932590
Pb_1474_replica,115241,1474687,12.797,15.52,Pb,EAZ,7433373
Pb_1475,142378,3414578,23.982,30.738,Pb,EAZ,18043963
Pb_1476,119075,1634026,13.723,16.758,Pb,EAZ,7942585
Pb_1478,83253,383084,4.601,5.251,Pb,EAZ,2355163
Pb_1479,105671,768113,7.269,8.493,Pb,EAZ,3977335
Pb_1480,116490,889646,7.637,9.006,Pb,EAZ,4957038
Pb_1481,120262,869033,7.226,8.656,Pb,EAZ,4920408
Pb_1482,123341,1058269,8.58,10.415,Pb,EAZ,5848130
Pb_1484,127168,980562,7.711,9.464,Pb,EAZ,5440850
Pb_1485,96482,439560,4.556,5.246,Pb,EAZ,2439927
Pb_1486,88903,345515,3.886,4.345,Pb,EAZ,1922383
Pb_1487,117716,996759,8.467,10.248,Pb,EAZ,4909237
Pb_1488,122515,1704480,13.912,17.198,Pb,EAZ,8752001
Pb_1490,71907,236596,3.29,3.627,Pb,EAZ,1364684
Pb_1491,117862,963359,8.174,9.782,Pb,EAZ,5376153
Pb_1493,108770,1105005,10.159,12.36,Pb,EAZ,6108960
Pb_1494,124165,1605121,12.927,16.157,Pb,EAZ,8149392
Pb_1495,131975,1314330,9.959,12.184,Pb,EAZ,7290458
Pb_1496,106031,768372,7.247,8.583,Pb,EAZ,3928881
Pb_1497,94742,590027,6.228,7.073,Pb,EAZ,3047181
Pb_1498,130700,1065367,8.151,10.046,Pb,EAZ,6135999
Pb_1499,112149,732947,6.535,7.652,Pb,EAZ,4051407
Pb_1500,140740,2225135,15.81,20.169,Pb,EAZ,12349332
Pb_1501,133317,1679817,12.6,15.698,Pb,EAZ,9194104
Pb_1502,99482,563835,5.668,6.47,Pb,EAZ,3119816
Pb_1503,128457,1208218,9.406,11.506,Pb,EAZ,6826375
Pb_1504,121957,983873,8.067,9.703,Pb,EAZ,5467018
Pb_1505,91938,446195,4.853,5.449,Pb,EAZ,2703664
Pb_1506,102726,555086,5.404,6.269,Pb,EAZ,3278074
Pb_1507,110589,1237435,11.189,13.775,Pb,EAZ,7454116
Pb_1508,113850,1132366,9.946,11.874,Pb,EAZ,5593599
Pb_1508_replica,104679,934163,8.924,10.722,Pb,EAZ,5343320
Pb_1509,116340,1590040,13.667,17.294,Pb,EAZ,8995968
Pb_1510,124382,1928366,15.504,20.236,Pb,EAZ,10949785
Pb_1511,115973,743928,6.415,7.655,Pb,EAZ,4207653
Pb_1512,103538,587081,5.67,6.583,Pb,EAZ,3778113
Pb_1513,133047,1396206,10.494,12.941,Pb,EAZ,7626810
Pb_1514,121054,983263,8.123,9.752,Pb,EAZ,5304102
Pb_1515,120486,2166603,17.982,23.061,Pb,EAZ,12024245
Pb_1516,127589,1412184,11.068,13.54,Pb,EAZ,7338846
Pb_1517,128147,1656668,12.928,16.015,Pb,EAZ,8654996
Pb_1518,115689,1600798,13.837,16.711,Pb,EAZ,7696808
Pb_1518_replica,141484,1880933,13.294,17.224,Pb,EAZ,10097999
Pb_1519,107461,804023,7.482,8.678,Pb,EAZ,4248680
Pb_1520,103798,584308,5.629,6.389,Pb,EAZ,3126922
Pb_1521,107298,693843,6.467,7.505,Pb,EAZ,3742085
Pb_1522,142640,2008175,14.079,17.966,Pb,EAZ,10308357
Pb_1523,137147,1972569,14.383,18.429,Pb,EAZ,11008743
Pb_1524,111309,1151254,10.343,12.484,Pb,EAZ,5834541
Pb_1526,114120,672271,5.891,7.019,Pb,EAZ,3549040
Pb_1528,108259,692346,6.395,7.378,Pb,EAZ,3921650
Pb_1529,124602,1070148,8.589,10.382,Pb,EAZ,5604264
Pb_1530,120592,1640225,13.601,17.45,Pb,EAZ,9452377
Pb_1531,107415,638310,5.942,6.869,Pb,EAZ,3612177
Pb_1532,79308,295662,3.728,4.092,Pb,EAZ,1547302
Pb_1532_replica,144909,1444125,9.966,13.17,Pb,EAZ,7628523
Pb_1533,77069,258768,3.358,3.732,Pb,EAZ,1521919
Pb_1534,129747,1415335,10.908,13.35,Pb,EAZ,7468507
Pb_1535,115654,1034267,8.943,10.686,Pb,EAZ,5260977
Pb_1536,120851,828816,6.858,8.318,Pb,EAZ,4446485
Pb_1537,117379,1348482,11.488,13.876,Pb,EAZ,6715966
Pb_1538,103005,550668,5.346,6.064,Pb,EAZ,2843196
Pb_1539,120691,1822185,15.098,18.824,Pb,EAZ,9185833
Pb_1540,125618,1415175,11.266,13.563,Pb,EAZ,7130302
Pb_1541,119219,1395368,11.704,14.134,Pb,EAZ,6853302
Pb_1542,130474,1298814,9.955,12.32,Pb,EAZ,7081530
Pb_1543,117722,1530888,13.004,15.669,Pb,EAZ,7375773
Pb_1544,131612,1696712,12.892,17.132,Pb,EAZ,8467938
Pb_1545,103709,982663,9.475,10.939,Pb,EAZ,4877922
Pb_1546,136168,2293814,16.845,21.402,Pb,EAZ,11774620
Pb_1547,119142,1880920,15.787,20.052,Pb,EAZ,10106264
Pb_1548,117153,1144494,9.769,11.77,Pb,EAZ,6039606
Pb_1549,135540,1332839,9.834,12.279,Pb,WAZ,6890708
Pb_1550,129625,1185343,9.144,11.128,Pb,WAZ,6449025
Pb_1550_replica,127422,1329236,10.432,12.682,Pb,WAZ,7170366
Pb_1551,142254,1754058,12.33,15.783,Pb,WAZ,9970251
Pb_1552,143181,1720919,12.019,15.795,Pb,WAZ,9392407
Pb_1553,128395,1519170,11.832,14.568,Pb,WAZ,8135793
Pb_1554,126164,1193787,9.462,11.627,Pb,WAZ,6621498
Pb_1555,128643,1505260,11.701,14.294,Pb,WAZ,8463084
Pb_1556,117085,648014,5.535,6.562,Pb,WAZ,3498412
Pb_1557,85886,435377,5.069,5.821,Pb,WAZ,2533925
Pb_1558,119082,1680260,14.11,18.047,Pb,WAZ,9334651
Pb_1559,133761,1468005,10.975,13.637,Pb,WAZ,7947237
Pb_1560,129048,1337569,10.365,12.701,Pb,WAZ,7111678
Pb_1562,147115,1420854,9.658,12.678,Pb,WAZ,7399856
Pb_1563,98202,685643,6.982,7.968,Pb,WAZ,3594511
Pb_1564,122904,1449031,11.79,14.625,Pb,WAZ,7415046
Pb_1566,113690,847645,7.456,8.777,Pb,WAZ,4464959
Pb_1568,103922,827665,7.964,9.628,Pb,WAZ,5003086
Pb_1569,126083,1265420,10.036,12.336,Pb,WAZ,7375729
Pb_1570,115178,845179,7.338,8.667,Pb,WAZ,4885275
Pb_1571,102780,730406,7.106,8.09,Pb,WAZ,4089671
Pb_1572,122489,1015291,8.289,9.892,Pb,WAZ,5352198
Pb_1573,121238,884730,7.297,8.715,Pb,WAZ,4781730
Pb_1574,101175,551084,5.447,6.282,Pb,WAZ,3145364
Pb_1575,77733,328060,4.22,4.644,Pb,WAZ,1683473
Pb_1576,129786,1366530,10.529,13.121,Pb,WAZ,7365932
Pb_1577,123780,1899364,15.345,19.956,Pb,WAZ,10596267
Pb_1578,131603,1680553,12.77,16.078,Pb,WAZ,9076743
Pb_1579,119202,1249801,10.485,12.775,Pb,WAZ,6492559
Pb_1580,105837,935555,8.84,10.734,Pb,WAZ,5413511
Pb_1581,117066,1651649,14.109,17.213,Pb,WAZ,8309059
Pb_1582,104708,553619,5.287,6.107,Pb,WAZ,3099144
Pb_1583,110634,674264,6.095,7.097,Pb,WAZ,3831237
Pb_1584,130189,1386229,10.648,13.235,Pb,WAZ,7775605
Pb_1584_replica,135441,2003775,14.794,18.761,Pb,WAZ,11188264
Pb_1585,130770,1506157,11.518,14.45,Pb,SFA-5,7956679
Pb_1586,147498,2371296,16.077,21.054,Pb,SFA-5,12092718
Pb_1587,128349,1670318,13.014,15.92,Pb,SFA-5,8991600
Pb_1588,116581,1982936,17.009,21.727,Pb,SFA-5,9571556
Pb_1589,141592,2092490,14.778,19.017,Pb,SFA-5,10893103
Pb_1590,145201,2396347,16.504,21.82,Pb,SFA-5,12161686
Pb_1591,134108,1505130,11.223,13.947,Pb,SFA-5,8614210
Pb_1592,133033,1918751,14.423,18.158,Pb,SFA-5,10203773
Pb_1593,137509,1532598,11.145,14.025,Pb,SFA-5,8175907
Pb_1594,115257,722148,6.266,7.425,Pb,SFA-5,3895356
Pb_1595,134222,1956199,14.574,18.218,Pb,SFA-5,10555341
Pb_1596,123799,1608372,12.992,16.099,Pb,SFA-5,7992697
Pb_1597,133883,1643610,12.276,15.408,Pb,SFA-5,9039327
Pb_1598,133140,1312374,9.857,12.255,Pb,SFA-5,7257248
Pb_1599,147904,2394545,16.19,21.514,Pb,SFA-5,12785284
Pb_1600,139012,1809226,13.015,16.524,Pb,SFA-5,10234296
Pb_1601,144788,2356006,16.272,21.619,Pb,SFA-5,13233829
Pb_1602,128043,1522800,11.893,15.02,Pb,SFA-5,7756932
Pb_1603,112531,768526,6.829,8.126,Pb,SFA-5,4325355
Pb_1604,142126,1719143,12.096,15.572,Pb,SFA-5,9116990
Pb_1605,93884,465976,4.963,5.631,Pb,SFA-5,2512469
Pb_1606,127686,2299413,18.008,23.049,Pb,SFA-5,11117429
Pb_1607,130443,2066401,15.841,20.132,Pb,SFA-5,10333655
Pb_1608,148892,3285049,22.063,29.333,Pb,SFA-5,17451405
Pb_1609,147822,1568107,10.608,14.233,Pb,SFA-5,7835272
Pb_1610,149617,2065165,13.803,18.299,Pb,SFA-5,10879914
Pb_1611,120462,916548,7.609,9.093,Pb,SFA-5,5140138
Pb_1612,143860,2041222,14.189,18.638,Pb,SFA-5,10882594
Pb_1613,116696,1542888,13.221,16.611,Pb,SFA-5,8824032
Pb_1614,127837,1421552,11.12,13.621,Pb,SFA-5,7904130
Pb_1616,135551,1564747,11.544,14.497,Pb,SFA-5,8908244
Pb_1617,136494,1497287,10.97,13.679,Pb,SFA-5,8159440
Pb_1618,122701,1504395,12.261,15.172,Pb,SFA-5,7031466
Pb_1619,128756,1217049,9.452,11.899,Pb,SFA-5,6457402
Pb_1620,144915,1675472,11.562,15.131,Pb,SFA-5,9832348
Pb_1621,106010,669340,6.314,7.337,Pb,SFA-5,3357668
Pb_1622,135485,2144837,15.831,19.694,Pb,SFA-5,11348167
Pb_1642,137994,1170484,8.482,10.928,Pb,SFA-0,6649197
Pb_1646,146357,1801495,12.309,15.93,Pb,SFA-6,9593634
Pb_1647,136093,1784272,13.111,16.32,Pb,SFA-6,9910216
Pb_1648,128221,2570248,20.045,26.362,Pb,SFA-6,14307654
Pb_1649,129699,1811886,13.97,17.644,Pb,SFA-6,9369847
Pb_1650,129325,1548873,11.977,14.758,Pb,SFA-6,8277751
Pb_1651,137578,1746403,12.694,15.897,Pb,SFA-6,9394872
Pb_1652,125737,1423401,11.32,13.751,Pb,SFA-6,7527908
Pb_1653,137042,2525804,18.431,23.374,Pb,SFA-6,13423621
Pb_1654,120982,1841955,15.225,18.952,Pb,SFA-6,9013820
Pb_1655,138334,1674111,12.102,15.353,Pb,SFA-6,8800262
Pb_1656,106090,590314,5.564,6.478,Pb,SFA-6,3170455
Pb_1657,130082,3265960,25.107,32.622,Pb,SFA-6,16029210
Pb_1658,113667,744936,6.554,7.666,Pb,SFA-6,3998930
Pb_1659,116669,1587327,13.605,16.593,Pb,SFA-6,7667452
Pb_1660,140706,1615958,11.485,14.977,Pb,SFA-6,8819151
Pb_1661,134339,1426353,10.618,13.239,Pb,SFA-6,7838284
Pb_1662,66229,293040,4.425,4.8,Pb,SFA-6,1661833
Pb_1663,133415,1685814,12.636,15.812,Pb,SFA-6,9096641
Pb_1664,137250,2010628,14.649,18.548,Pb,SFA-5,10597745
Pb_1665,119788,1570115,13.107,15.99,Pb,SFA-5,7388391
Pb_1666,125425,911993,7.271,8.845,Pb,SFA-5,4973678
Pb_1667,134736,1642516,12.191,15.5,Pb,SFA-5,8609105
Pb_1668,107949,676822,6.27,7.251,Pb,SFA-5,3957586
Pb_1668_replica,141679,3006797,21.223,27.182,Pb,SFA-5,16205199
Pb_1669,136635,1985365,14.53,18.176,Pb,SFA-5,9908008
Pb_1670,142172,2022412,14.225,18.336,Pb,SFA-5,11307684
